IDProcesso,PID,nomeProcesso,cpu_processo,uso_ram,data_hora,fkMaquina
1,NULL,"System Idle Process",NULL,93.2,"2023-12-06 10:16:55",1
2,NULL,System,NULL,93.2,"2023-12-06 10:16:55",1
3,NULL,,NULL,93.2,"2023-12-06 10:16:55",1
4,NULL,Registry,NULL,93.2,"2023-12-06 10:16:55",1
5,NULL,smss.exe,NULL,93.2,"2023-12-06 10:16:55",1
6,NULL,dwm.exe,NULL,93.2,"2023-12-06 10:16:55",1
7,NULL,csrss.exe,NULL,93.2,"2023-12-06 10:16:55",1
8,NULL,wininit.exe,NULL,93.2,"2023-12-06 10:16:55",1
9,NULL,csrss.exe,NULL,93.2,"2023-12-06 10:16:55",1
10,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:55",1
11,NULL,RuntimeBroker.exe,NULL,93.2,"2023-12-06 10:16:55",1
12,NULL,services.exe,NULL,93.2,"2023-12-06 10:16:55",1
13,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:55",1
14,NULL,GameBarFTServer.exe,NULL,93.2,"2023-12-06 10:16:55",1
15,NULL,LsaIso.exe,NULL,93.2,"2023-12-06 10:16:55",1
16,NULL,lsass.exe,NULL,93.2,"2023-12-06 10:16:55",1
17,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:55",1
18,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:55",1
19,NULL,fontdrvhost.exe,NULL,93.2,"2023-12-06 10:16:55",1
20,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:55",1
21,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
22,NULL,WUDFHost.exe,NULL,93.2,"2023-12-06 10:16:56",1
23,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
24,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
25,NULL,WUDFHost.exe,NULL,93.2,"2023-12-06 10:16:56",1
26,NULL,WUDFHost.exe,NULL,93.2,"2023-12-06 10:16:56",1
27,NULL,conhost.exe,NULL,93.2,"2023-12-06 10:16:56",1
28,NULL,winlogon.exe,NULL,93.2,"2023-12-06 10:16:56",1
29,NULL,fontdrvhost.exe,NULL,93.2,"2023-12-06 10:16:56",1
30,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
31,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
32,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
33,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
34,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
35,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
36,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
37,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
38,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
39,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
40,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
41,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
42,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
43,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
44,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
45,NULL,svchost.exe,NULL,93.2,"2023-12-06 10:16:56",1
46,NULL,svchost.exe,NULL,93.1,"2023-12-06 10:16:56",1
47,NULL,IntelCpHDCPSvc.exe,NULL,93.1,"2023-12-06 10:16:56",1
